Level	Rule Name	Subject	Property	Value
ERROR	deprecated_boolean_datatype	discipline	owl:deprecated	TRUE
ERROR	duplicate_label	description	rdfs:label	description
ERROR	duplicate_label	description	rdfs:label	description
ERROR	missing_label	CHEBI:24431	rdfs:label	
WARN	annotation_whitespace	nasa center	IAO:0000115	A federally funded facility where NASA activities are undertaken.  
WARN	annotation_whitespace	LSDA document	IAO:0000116	" \""By this definition no binary files are documents (we assume they become dataset files in NGLSDA)\"""
WARN	annotation_whitespace	dataset catalog id	IAO:0000115	 This alphanumeric string is generated at data acquisition, and is used to uniquely identify the dataset.
WARN	annotation_whitespace	subject id	IAO:0000115	ALSDA subject ID: Unique numeric identifier of  a group to which the subject belongs. Examples of subject  groups (Flight/Ground Control/Basal) 
WARN	annotation_whitespace	dataset availability	oboInOwl:hasSynonym	 Available; Availability
WARN	annotation_whitespace	biospecimen center	IAO:0000115	NASA center of the biospecimen 
WARN	annotation_whitespace	document availability	IAO:0000115	Access restrictions for ordering/receiving the archived document. 
WARN	annotation_whitespace	center	IAO:0000115	Duty center of the NASA representative 
WARN	annotation_whitespace	Aquarius	IAO:0000115	An underwater habitat and research laboratory deployed on the ocean floor at a depth of 62 feet/19 meters and located 3.5 miles/6.5 km from Key Largo, FL.  The installation consists of a surface-level life support buoy, the 45ft/14m x 9.8ft/3m habitat with living quarters, life-support systems, and laboratory space, and two underwater waystations supplying air for aquanauts on extended dives outside the habitat.  The habitat includes a wet entry porch, a pressurizable main cabin, and a sealable entry lock connecting the two pressure zones.  Saturation diving allows crews of up to six people to conduct extended missions while living in the habitat.  Aquarius enables spaceflight analog studies approximating extreme space environments, extravehicular activity, and isolation and confinement of crew.  
WARN	annotation_whitespace	HERA	IAO:0000115	The HERA facility is located at the Johnson Space Center in Houston, Texas and consists of a unique three-story closed habitat that is designed to serve as an analog for isolation, confinement, and remote conditions in exploration scenarios. Subjects� emotional and mental states in a short-duration, isolated, and confined environment are captured to advance understanding of behavioral risks associated with this type of spaceflight analog. The two areas of study are behavioral health and biochemistry, which monitor subjects� psychological health and cortisol levels, respectively. 
WARN	equivalent_pair	organization	owl:equivalentClass	https://www.commoncoreontologies.org/ont00001180
WARN	missing_definition	CHEBI:24431	IAO:0000115	
WARN	missing_definition	research station	IAO:0000115	
WARN	missing_definition	laboratory facility	IAO:0000115	
WARN	missing_definition	has_genotype	IAO:0000115	
WARN	missing_definition	organization	IAO:0000115	
WARN	missing_definition	operates	IAO:0000115	
WARN	missing_definition	operatedBy	IAO:0000115	
WARN	missing_definition	managedAt	IAO:0000115	
WARN	missing_definition	managed	IAO:0000115	
WARN	missing_definition	depicts	IAO:0000115	
WARN	missing_definition	depictedIn	IAO:0000115	
WARN	missing_definition	fundedBy	IAO:0000115	
WARN	missing_definition	funded	IAO:0000115	
WARN	missing_definition	implements	IAO:0000115	
WARN	missing_definition	implementedBy	IAO:0000115	
WARN	missing_definition	owned by	IAO:0000115	
WARN	missing_definition	owns	IAO:0000115	
WARN	missing_definition	investigates	IAO:0000115	
WARN	missing_definition	investigatedBy	IAO:0000115	
WARN	missing_definition	keyword	IAO:0000115	
WARN	missing_definition	hardware description	IAO:0000115	
WARN	missing_definition	mission id	IAO:0000115	
WARN	missing_definition	durationRange	IAO:0000115	
WARN	missing_definition	image id	IAO:0000115	
WARN	missing_definition	launch date	IAO:0000115	
WARN	missing_definition	per_id	IAO:0000115	
WARN	missing_definition	payload title	IAO:0000115	
WARN	missing_definition	land date	IAO:0000115	
WARN	missing_definition	nasa center code	IAO:0000115	
WARN	missing_definition	component name	IAO:0000115	
WARN	missing_definition	configuration description	IAO:0000115	
WARN	missing_definition	hardware type	IAO:0000115	
WARN	missing_definition	middle name	IAO:0000115	
WARN	missing_definition	tissue medium	IAO:0000115	
WARN	missing_definition	component image	IAO:0000115	
WARN	missing_definition	component image size	IAO:0000115	
WARN	missing_definition	protocol approach	IAO:0000115	
WARN	missing_definition	processing level	IAO:0000115	
WARN	missing_definition	type	IAO:0000115	
WARN	missing_definition	s3 file GUID	IAO:0000115	
WARN	missing_definition	discipline	IAO:0000115	
WARN	missing_definition	species	IAO:0000115	
WARN	missing_definition	parameter	IAO:0000115	
WARN	missing_definition	hardware alias	IAO:0000115	
WARN	missing_definition	payload ID	IAO:0000115	
WARN	missing_definition	image description	IAO:0000115	
WARN	missing_definition	s3 file guid	IAO:0000115	
WARN	missing_definition	image name	IAO:0000115	
WARN	missing_definition	file extension	IAO:0000115	
WARN	missing_definition	file type	IAO:0000115	
WARN	missing_definition	group id	IAO:0000115	
WARN	missing_definition	supplier id	IAO:0000115	
WARN	missing_definition	subject index	IAO:0000115	
WARN	missing_definition	ARC-SLIMS system name	IAO:0000115	
WARN	missing_definition	description	IAO:0000115	
WARN	missing_definition	license	IAO:0000115	
WARN	missing_definition	title	IAO:0000115	
INFO	lowercase_definition	spacecraft module	IAO:0000115	a self-contained unit of a spacecraft
INFO	lowercase_definition	dataset catalog id	IAO:0000115	 This alphanumeric string is generated at data acquisition, and is used to uniquely identify the dataset.
INFO	lowercase_definition	file thumbnail	IAO:0000115	owl:equivalentProperty http://purl.obolibrary.org/obo/NCIT_C91820
INFO	lowercase_definition	envihab	IAO:0000115	:envihab is a state-of-the-art research facility located in Cologne, Germany.
INFO	missing_superclass	research station	rdfs:subClassOf	
INFO	missing_superclass	laboratory facility	rdfs:subClassOf	
INFO	missing_superclass	has_genotype	rdfs:subClassOf	
INFO	missing_superclass	organization	rdfs:subClassOf	
